,BGD,SGD,MBGD,正则方程
count,102.0,102.0,102.0,102.0
mean,57.264363627594946,48.023046461498815,56.731440617717794,49.365359053330174
std,126.12579780945676,126.68779837597077,125.34252585647418,146.71109503796706
min,0.003524029605521122,7.998898367327218e-05,0.003358332876008526,5.333136052827735e-06
25%,1.8706439132321573,1.4988406681989894,1.889317462044084,1.1870831631751024
50%,11.368936958216565,6.963055830813943,11.387603547439134,10.849305653475191
75%,54.94800459774464,34.7860833952884,52.574637581609224,30.483524053009035
max,809.6128647006257,889.3939910539615,811.6620769028449,991.1328032910661
